County_Name,State_Abbr,Median_Income
Gadsden County,FL,46047
Gilchrist County,FL,61070
Glades County,FL,38905
Gulf County,FL,67361
Hamilton County,FL,47696
Hardee County,FL,54231
Hendry County,FL,53044
Hernando County,FL,63193
Highlands County,FL,55581
Hillsborough County,FL,75011
Holmes County,FL,48236
Indian River County,FL,71049
Jackson County,FL,47327
Jefferson County,FL,56984
Lafayette County,FL,60692
Lake County,FL,69956
Lee County,FL,73099
Leon County,FL,65074
Levy County,FL,53805
Liberty County,FL,53824
Madison County,FL,48176
Manatee County,FL,75792
Marion County,FL,58535
Martin County,FL,80701
Miami-Dade County,FL,68694
Monroe County,FL,82430
Nassau County,FL,88900
Okaloosa County,FL,79097
Okeechobee County,FL,52288
Orange County,FL,77011
Osceola County,FL,68711
Palm Beach County,FL,81115
Pasco County,FL,67384
Pinellas County,FL,70293
Polk County,FL,63644
Putnam County,FL,47256
St. Johns County,FL,106169
St. Lucie County,FL,69027
Santa Rosa County,FL,88968
Sarasota County,FL,80633
Seminole County,FL,83030
Sumter County,FL,73297
Suwannee County,FL,55479
Taylor County,FL,44985
Union County,FL,64922
Volusia County,FL,66581
Wakulla County,FL,74183
Walton County,FL,79281
Washington County,FL,52723
Appling County,GA,43728
Atkinson County,GA,38438
Bacon County,GA,50310
Baker County,GA,44405
Baldwin County,GA,55413
Banks County,GA,68830
Barrow County,GA,77477
Bartow County,GA,79431
Ben Hill County,GA,39081
Berrien County,GA,50414
Bibb County,GA,50747
Bleckley County,GA,53005
Brantley County,GA,47801
Brooks County,GA,47656
Bryan County,GA,94234
Bulloch County,GA,56832
Burke County,GA,50739
Butts County,GA,59221
Calhoun County,GA,55714
Camden County,GA,72399
Candler County,GA,50431
Carroll County,GA,72327
Catoosa County,GA,72425
Charlton County,GA,48534
Chatham County,GA,69575
Chattahoochee County,GA,59221
Chattooga County,GA,47785
Cherokee County,GA,105442
Clarke County,GA,52267
Clay County,GA,48715
Clayton County,GA,58507
Clinch County,GA,55549
Cobb County,GA,98712
Coffee County,GA,50175
Colquitt County,GA,49691
Columbia County,GA,96122
Cook County,GA,50133
Coweta County,GA,94142
Crawford County,GA,60905
