,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
162,Beaverhead County,Montana,115868,55498,53304,7066
163,Becker County,Minnesota,423792,187962,183234,52596
164,Beckham County,Oklahoma,266296,121360,108542,36394
165,Bedford County,Pennsylvania,570282,278446,277472,14364
166,Bedford County,Tennessee,622866,265614,271192,86060
167,Bedford County,Virginia,967906,427680,435314,104912
168,Bee County,Texas,372934,194668,132722,45544
169,Belknap County,New Hampshire,773998,369984,374486,29528
170,Bell County,Kentucky,283282,130594,135916,16772
171,Bell County,Texas,4610552,1500168,1490288,1620096
172,Belmont County,Ohio,787716,368218,362736,56762
173,Beltrami County,Minnesota,557576,204074,201474,152028
174,Ben Hill County,Georgia,205270,59414,62110,83746
175,Benewah County,Idaho,120482,54330,50612,15540
176,Bennett County,South Dakota,40208,7168,6506,26534
177,Bennington County,Vermont,447390,208474,216510,22406
178,Benson County,North Dakota,70002,16174,14028,39800
179,Bent County,Colorado,66796,34920,22172,9704
180,Benton County,Arkansas,3604990,1567798,1579368,457824
181,Benton County,Indiana,104766,51414,49566,3786
182,Benton County,Iowa,308406,150542,148408,9456
183,Benton County,Minnesota,498682,225480,222590,50612
184,Benton County,Mississippi,91192,28452,28500,34240
185,Benton County,Missouri,240298,116308,113692,10298
186,Benton County,Oregon,1153406,496950,497526,158930
187,Benton County,Tennessee,191790,89402,91166,11222
188,Benton County,Washington,2542790,1144724,1128310,269756
189,Benzie County,Michigan,219032,105016,104078,9938
190,Bergen County,New Jersey,11534604,4071026,4181780,3281798
191,Berkeley County,South Carolina,2927578,1017818,995090,914670
192,Berkeley County,West Virginia,1539278,662812,666204,210262
193,Berks County,Pennsylvania,5187846,2195944,2251394,740508
194,Berkshire County,Massachusetts,1552358,688448,726368,137542
195,Bernalillo County,New Mexico,8092192,3294278,3395658,1402256
196,Berrien County,Georgia,219836,92736,93768,33332
197,Berrien County,Michigan,1841962,727738,742752,371472
198,Bertie County,North Carolina,207558,37772,37310,132476
200,Bexar County,Texas,24692056,10152718,10307550,4231788
201,Bibb County,Alabama,265870,103678,99854,62338
202,Bibb County,Georgia,1880470,355936,370044,1154490
203,Bienville Parish,Louisiana,152342,41858,43198,67286
204,Big Horn County,Montana,155162,23030,21760,110372
205,Big Horn County,Wyoming,141318,68616,65202,7500
206,Big Stone County,Minnesota,61610,29954,29528,2128
207,Billings County,North Dakota,11932,5898,5288,746
208,Bingham County,Idaho,592608,267442,261202,63964
209,Black Hawk County,Iowa,1572772,646590,665488,260694
210,Blackford County,Indiana,143728,67976,70266,5486
211,Bladen County,North Carolina,354888,105856,109730,139302
212,Blaine County,Idaho,298060,141092,140602,16366
213,Blaine County,Montana,83570,19364,18804,45402
214,Blaine County,Nebraska,5306,2650,2492,164
215,Blaine County,Oklahoma,103158,41528,40646,20984
216,Blair County,Pennsylvania,1458408,681774,703784,72850
217,Blanco County,Texas,147212,68516,69580,9116
218,Bland County,Virginia,74530,37900,32152,4478
219,Bleckley County,Georgia,149470,51850,54628,42992
220,Bledsoe County,Tennessee,180156,91018,73028,16110
221,Blount County,Alabama,713442,338088,342782,32572
222,Blount County,Tennessee,1663896,762012,793364,108520
223,Blue Earth County,Minnesota,836916,374462,373272,89182
224,Boise County,Idaho,97952,47568,43802,6582
225,Bolivar County,Mississippi,357314,58788,62014,236512
226,Bollinger County,Missouri,126720,61268,60776,4676
227,Bon Homme County,South Dakota,84432,41848,32972,9612
228,Bond County,Illinois,200954,92182,88494,20278
229,Bonner County,Idaho,604708,290668,284364,29676
230,Bonneville County,Idaho,1543148,729178,722916,91054
