county_name,state_name,median_income
Indian River County,Florida,71049
Jackson County,Florida,47327
Jefferson County,Florida,56984
Lafayette County,Florida,60692
Lake County,Florida,69956
Lee County,Florida,73099
Leon County,Florida,65074
Levy County,Florida,53805
Liberty County,Florida,53824
Madison County,Florida,48176
Manatee County,Florida,75792
Marion County,Florida,58535
Martin County,Florida,80701
Miami-Dade County,Florida,68694
Monroe County,Florida,82430
Nassau County,Florida,88900
Okaloosa County,Florida,79097
Okeechobee County,Florida,52288
Orange County,Florida,77011
Osceola County,Florida,68711
Palm Beach County,Florida,81115
Pasco County,Florida,67384
Pinellas County,Florida,70293
Polk County,Florida,63644
Putnam County,Florida,47256
St. Johns County,Florida,106169
St. Lucie County,Florida,69027
Santa Rosa County,Florida,88968
Sarasota County,Florida,80633
Seminole County,Florida,83030
Sumter County,Florida,73297
Suwannee County,Florida,55479
Taylor County,Florida,44985
Union County,Florida,64922
Volusia County,Florida,66581
Wakulla County,Florida,74183
Walton County,Florida,79281
Washington County,Florida,52723
Appling County,Georgia,43728
Atkinson County,Georgia,38438
Bacon County,Georgia,50310
Baker County,Georgia,44405
Baldwin County,Georgia,55413
Banks County,Georgia,68830
Barrow County,Georgia,77477
Bartow County,Georgia,79431
Ben Hill County,Georgia,39081
Berrien County,Georgia,50414
Bibb County,Georgia,50747
Bleckley County,Georgia,53005
Brantley County,Georgia,47801
Brooks County,Georgia,47656
Bryan County,Georgia,94234
Bulloch County,Georgia,56832
Burke County,Georgia,50739
Butts County,Georgia,59221
Calhoun County,Georgia,55714
Camden County,Georgia,72399
Candler County,Georgia,50431
Carroll County,Georgia,72327
Catoosa County,Georgia,72425
Charlton County,Georgia,48534
Chatham County,Georgia,69575
Chattahoochee County,Georgia,59221
Chattooga County,Georgia,47785
Cherokee County,Georgia,105442
Clarke County,Georgia,52267
Clay County,Georgia,48715
Clayton County,Georgia,58507
Clinch County,Georgia,55549
Cobb County,Georgia,98712
Coffee County,Georgia,50175
Colquitt County,Georgia,49691
Columbia County,Georgia,96122
Cook County,Georgia,50133
Coweta County,Georgia,94142
Crawford County,Georgia,60905
Crisp County,Georgia,42745
Dade County,Georgia,58936
Dawson County,Georgia,88986
Decatur County,Georgia,50485
DeKalb County,Georgia,77683
Dodge County,Georgia,50152
Dooly County,Georgia,56545
Dougherty County,Georgia,46784
Douglas County,Georgia,80764
Early County,Georgia,53750
Echols County,Georgia,61723
Effingham County,Georgia,85465
Elbert County,Georgia,49727
Emanuel County,Georgia,50053
Evans County,Georgia,53908
Fannin County,Georgia,58073
Fayette County,Georgia,108986
Floyd County,Georgia,62540
Forsyth County,Georgia,138000
Franklin County,Georgia,52264
Fulton County,Georgia,91490
Gilmer County,Georgia,72542
Glascock County,Georgia,55250
Glynn County,Georgia,68546
Gordon County,Georgia,61997
Grady County,Georgia,54312
Greene County,Georgia,84530
Gwinnett County,Georgia,84823
Habersham County,Georgia,65622
Hall County,Georgia,77430
Hancock County,Georgia,33182
Haralson County,Georgia,65016
Harris County,Georgia,89184
Hart County,Georgia,57241
Heard County,Georgia,62907
Henry County,Georgia,81612
Houston County,Georgia,80743
Irwin County,Georgia,53915
Jackson County,Georgia,85012
Jasper County,Georgia,59574
Jeff Davis County,Georgia,40879
Jefferson County,Georgia,46561
Jenkins County,Georgia,36906
Johnson County,Georgia,54183
Jones County,Georgia,68259
Lamar County,Georgia,68457
Lanier County,Georgia,44361
Laurens County,Georgia,49705
Lee County,Georgia,88024
Liberty County,Georgia,59013
Lincoln County,Georgia,50688
Long County,Georgia,64747
Lowndes County,Georgia,55887
Lumpkin County,Georgia,72388
McDuffie County,Georgia,54058
McIntosh County,Georgia,50348
Macon County,Georgia,37177
Madison County,Georgia,58784
Marion County,Georgia,50484
Meriwether County,Georgia,56458
Miller County,Georgia,58407
Mitchell County,Georgia,51908
Monroe County,Georgia,82863
Montgomery County,Georgia,51188
Morgan County,Georgia,85692
Murray County,Georgia,67880
Muscogee County,Georgia,56622
