county_name,state_name,state,is_desert
Walker County,Georgia,GA,False
Grady County,Georgia,GA,False
Seminole County,Georgia,GA,False
Clay County,Georgia,GA,False
Macoupin County,Illinois,IL,False
Carroll County,Georgia,GA,False
Kendall County,Illinois,IL,False
Dearborn County,Indiana,IN,False
Adams County,Indiana,IN,False
Steuben County,Indiana,IN,False
Benton County,Indiana,IN,False
Bay County,Michigan,MI,False
Genesee County,Michigan,MI,False
Berrien County,Michigan,MI,False
Pike County,Illinois,IL,False
Calhoun County,Illinois,IL,False
Winnebago County,Illinois,IL,False
Floyd County,Indiana,IN,False
Muscatine County,Iowa,IA,False
Crow Wing County,Minnesota,MN,True
Fulton County,Illinois,IL,False
Clay County,Illinois,IL,False
Vigo County,Indiana,IN,False
Wyandotte County,Kansas,KS,False
LaSalle County,Illinois,IL,False
Atchison County,Kansas,KS,False
Allegany County,New York,NY,False
Jefferson County,Kentucky,KY,False
Garvin County,Oklahoma,OK,False
Jasper County,South Carolina,SC,False
Saginaw County,Michigan,MI,False
Page County,Iowa,IA,False
Hamilton County,Indiana,IN,False
Harrison County,Iowa,IA,False
Montcalm County,Michigan,MI,False
Van Buren County,Iowa,IA,False
Muskegon County,Michigan,MI,False
Lyon County,Iowa,IA,False
Mason County,Michigan,MI,False
Freeborn County,Minnesota,MN,False
Bourbon County,Kansas,KS,False
Doniphan County,Kansas,KS,False
Norton County,Kansas,KS,True
Marshall County,Kansas,KS,False
Morton County,Kansas,KS,False
Seward County,Kansas,KS,True
Dickinson County,Michigan,MI,False
Tuscola County,Michigan,MI,False
Arenac County,Michigan,MI,False
Oceana County,Michigan,MI,False
Houghton County,Michigan,MI,True
Rock County,Minnesota,MN,False
Lincoln County,South Dakota,SD,False
Minnehaha County,South Dakota,SD,False
Marshall County,South Dakota,SD,False
Morgan County,Alabama,AL,False
Mason County,Kentucky,KY,False
Logan County,Kentucky,KY,False
Bristol County,Massachusetts,MA,False
Oldham County,Kentucky,KY,False
Cayuga County,New York,NY,False
Chippewa County,Michigan,MI,True
Perry County,Alabama,AL,False
Tulsa County,Oklahoma,OK,False
Butler County,Alabama,AL,False
Cass County,Michigan,MI,False
Lyon County,Nevada,NV,True
Merrimack County,New Hampshire,NH,False
Hughes County,South Dakota,SD,True
Faulk County,South Dakota,SD,False
Turner County,South Dakota,SD,False
Sanborn County,South Dakota,SD,False
Northwest Hills Planning Region,Connecticut,CT,False
Manatee County,Florida,FL,False
Santa Fe County,New Mexico,NM,False
Ontario County,New York,NY,False
Jackson County,South Dakota,SD,False
Harding County,South Dakota,SD,True
Sarasota County,Florida,FL,False
St. Lucie County,Florida,FL,False
Columbia County,Georgia,GA,False
Union County,Georgia,GA,False
Palm Beach County,Florida,FL,False
Greene County,New York,NY,False
Genesee County,New York,NY,False
Lewis County,New York,NY,False
Sevier County,Utah,UT,True
Lamoille County,Vermont,VT,False
Caroline County,Virginia,VA,False
Fluvanna County,Virginia,VA,False
Bay County,Florida,FL,False
Decatur County,Georgia,GA,False
Union County,Kentucky,KY,False
Guernsey County,Ohio,OH,False
Seneca County,Ohio,OH,False
Wake County,North Carolina,NC,False
Guilford County,North Carolina,NC,False
Lynchburg city,Virginia,VA,False
Sussex County,Virginia,VA,False
Petersburg city,Virginia,VA,False
Towns County,Georgia,GA,False
Franklin County,Georgia,GA,False
Heard County,Georgia,GA,False
Franklin County,Ohio,OH,False
Summit County,Ohio,OH,False
Wayne County,North Carolina,NC,False
Randolph County,North Carolina,NC,False
Stokes County,North Carolina,NC,False
Martinsville city,Virginia,VA,False
Harrisonburg city,Virginia,VA,False
Franklin city,Virginia,VA,False
Clay County,West Virginia,WV,False
Lamar County,Alabama,AL,False
Cherokee County,Alabama,AL,False
Wood County,Ohio,OH,False
Belmont County,Ohio,OH,False
Yadkin County,North Carolina,NC,False
Barnes County,North Dakota,ND,False
Ward County,North Dakota,ND,True
Upshur County,West Virginia,WV,False
Jefferson County,Wisconsin,WI,False
Wood County,Wisconsin,WI,True
Lauderdale County,Alabama,AL,False
Limestone County,Alabama,AL,False
Grundy County,Tennessee,TN,False
Henderson County,Tennessee,TN,False
Mountrail County,North Dakota,ND,False
McHenry County,North Dakota,ND,False
Waukesha County,Wisconsin,WI,False
Taylor County,Wisconsin,WI,True
