county_name,state,mobility_rate
Gonzales County,TX,0.1528
Bastrop County,TX,0.1526
Cherokee County,TX,0.152
Bexar County,TX,0.1517
Trinity County,TX,0.1515
Clark County,OH,0.1514
Muskogee County,OK,0.1514
Hughes County,OK,0.1512
Atoka County,OK,0.1508
Maury County,TN,0.1507
Madison County,TN,0.1505
Robertson County,TN,0.1505
Wilkes County,NC,0.1501
Lamar County,TX,0.1501
Charleston County,SC,0.15
Gallia County,OH,0.1495
Guernsey County,OH,0.1495
Bell County,TX,0.1495
Johnston County,NC,0.149
Chowan County,NC,0.1489
Spartanburg County,SC,0.1488
Jones County,TX,0.1488
Nolan County,TX,0.1488
Madison County,OH,0.1487
Deaf Smith County,TX,0.1483
Polk County,NC,0.1478
Pottawatomie County,OK,0.1478
Castro County,TX,0.1478
Clinton County,OH,0.1477
Iredell County,NC,0.1476
Marshall County,OK,0.1471
Putnam County,TN,0.1468
Comanche County,OK,0.1466
McCulloch County,TX,0.1465
Preble County,OH,0.1464
Val Verde County,TX,0.146
Craven County,NC,0.1458
Morgan County,OH,0.145
Washington County,TN,0.1449
Scioto County,OH,0.1448
Craig County,OK,0.1446
Beaufort County,NC,0.1445
Ashtabula County,OH,0.1441
Fannin County,TX,0.1441
Dyer County,TN,0.1438
Caddo County,OK,0.1435
Ross County,OH,0.1433
Pickens County,SC,0.1428
Uvalde County,TX,0.1428
Surry County,NC,0.1426
Clay County,NC,0.1425
Lee County,NC,0.1424
Weakley County,TN,0.1424
Lynn County,TX,0.142
Jefferson County,OR,0.1415
Richland County,SC,0.1414
Ottawa County,OK,0.1413
Newberry County,SC,0.141
Robertson County,TX,0.141
Okmulgee County,OK,0.1409
Cochran County,TX,0.1408
Transylvania County,NC,0.1404
Stokes County,NC,0.1402
Coshocton County,OH,0.1401
Falls County,TX,0.1401
Haywood County,NC,0.1396
Smith County,TN,0.1395
Loudon County,TN,0.1392
Georgetown County,SC,0.1391
Swisher County,TX,0.139
Marshall County,TN,0.1388
Adams County,OH,0.1387
Gaston County,NC,0.1384
Rowan County,NC,0.1384
Jones County,NC,0.1383
Wilson County,NC,0.1382
Garza County,TX,0.1382
Lawrence County,OH,0.138
Anderson County,SC,0.1371
Titus County,TX,0.137
Houston County,TX,0.1364
Meigs County,OH,0.1355
Shelby County,TN,0.1353
Cotton County,OK,0.1349
Florence County,SC,0.1343
Montgomery County,TN,0.1341
Malheur County,OR,0.134
Pushmataha County,OK,0.1339
Davidson County,NC,0.1333
Hardin County,TN,0.1332
Jackson County,NC,0.1325
Horry County,SC,0.1322
Granville County,NC,0.1319
Holmes County,OH,0.1318
Perry County,OH,0.1315
Potter County,TX,0.1315
Cherokee County,OK,0.1314
Coryell County,TX,0.1314
El Paso County,TX,0.1314
Hale County,TX,0.131
Madison County,TX,0.1309
Giles County,TN,0.1308
Macon County,NC,0.1305
Berkeley County,SC,0.13
Kershaw County,SC,0.13
Morgan County,TN,0.1299
Red River County,TX,0.1299
Avery County,NC,0.1294
McMinn County,TN,0.1293
