fips,count,median_earnings,pell_grant_rate,access_score,earnings_score,pell_score,opportunity_score
12073,3,47861.666666666664,0.3877,0.047619047619047616,0.41885487815161476,0.4280666887490339,27.31240891178136
12079,1,33929.0,0.3878,0.015873015873015872,0.24262585378193777,0.4281771005851827,20.75900926593425
12081,1,40318.0,0.3606,0.015873015873015872,0.32343789526941563,0.3981450811526996,22.28240992758409
12085,1,39863.0,0.2667,0.015873015873015872,0.31768277257778904,0.29446836700894335,18.999454822522605
12086,13,48665.867924528306,0.44493846153846156,0.20634920634920634,0.4290269153115141,0.49126472511699415,35.862717466823504
12091,1,39664.0,0.2187,0.015873015873015872,0.3151656969390336,0.24147068565750252,17.33401211281672
12095,6,54670.44025157233,0.39410000000000006,0.09523809523809523,0.5049764767464245,0.43513304626255944,32.01280949979333
12097,1,40596.0,0.4645,0.015873015873015872,0.326954211990893,0.5128629789113394,25.829436361987607
12099,6,48590.5,0.3759666666666666,0.09523809523809523,0.42807361497596763,0.4151116999742372,29.10508325802995
12101,3,40244.0,0.4094,0.047619047619047616,0.32250189729319506,0.4520260571933311,25.14060053935769
12103,3,41190.0,0.4357333333333333,0.047619047619047616,0.3344674930432583,0.4811011740458577,26.371821917435383
12105,6,47559.606918239,0.36933333333333335,0.09523809523809523,0.4150342387836959,0.4077877148430312,28.494182418325625
12107,1,41728.0,0.1916,0.015873015873015872,0.341272451302808,0.21154907806116816,17.21956651583992
12109,1,49483.0,0.2831,0.015873015873015872,0.439362509486466,0.31257590813735237,23.193073163635187
12111,1,38315.0,0.3302,0.015873015873015872,0.29810270680495826,0.36457988296345367,20.515398327972996
12115,2,45703.5,0.25725,0.031746031746031744,0.39155704528206425,0.28403444849287846,21.53758608308955
12117,1,36909.0,0.5986,0.015873015873015872,0.28031874525676703,0.6609252511869274,28.87224052823147
12127,5,59103.6,0.37283999999999995,0.07936507936507936,0.5610498355679231,0.41165948989731693,32.35588293856038
13009,2,48698.5,0.24675,0.031746031746031744,0.42943966607639766,0.2724412056972508,22.326267423050723
13021,3,47844.666666666664,0.3956,0.047619047619047616,0.41863985158951006,0.4367892238047919,27.56763416659096
13031,1,53236.0,0.3549,0.015873015873015872,0.4868327852264103,0.39185160649221595,26.995452386479425
13045,1,49587.0,0.418,0.015873015873015872,0.4406779661016949,0.46152147510213093,27.700903871035408
13051,2,41967.5,0.41695,0.031746031746031744,0.3443017961042246,0.4603621508225682,25.409759677645056
13057,1,46541.0,0.3909,0.015873015873015872,0.40215026562104733,0.43159986750579665,25.647424628725958
13059,1,68726.0,0.1722,0.015873015873015872,0.6827599291677208,0.19012918184829414,26.82159396540108
13063,1,49179.0,0.5191,0.015873015873015872,0.43551732861118136,0.5731478414486033,30.894875736714173
13067,2,52474.5,0.37305,0.031746031746031744,0.4772008601062484,0.4118913547532296,27.942607715625613
13069,1,35697.0,0.5223,0.015873015873015872,0.26498861624082976,0.576681020205366,25.885009728306507
13083,1,50412.0,0.1845,0.015873015873015872,0.45111307867442446,0.20370983769460088,20.279608125991395
13089,5,56256.4,0.34892,0.07936507936507936,0.5250366810017708,0.38524897869051566,30.483172965371768
13095,1,40674.0,0.6498,0.015873015873015872,0.3279408044523147,0.7174561112951309,31.996828107344
13107,1,37174.0,0.4958,0.015873015873015872,0.28367062990134073,0.5474218836259247,25.567696040738596
13115,3,47196.0,0.33713333333333334,0.047619047619047616,0.4104351125727296,0.3722351036031063,25.38486839003698
13119,1,38208.0,0.2976,0.015873015873015872,0.29674930432582847,0.3285856243789334,19.39496849606349
13121,10,50758.50208333333,0.45674000000000003,0.15873015873015872,0.45549585230626527,0.5042950204261898,35.14293253118
13127,1,39318.0,0.4051,0.015873015873015872,0.31078927396913736,0.44727834823893126,23.376949301162693
13135,2,48392.01041666667,0.2517,0.031746031746031744,0.42556299540433434,0.27790659158661807,22.373928879569842
13137,1,49130.0,0.4145,0.015873015873015872,0.43489754616746773,0.4576570608369217,27.41155884505232
13139,1,54003.0,0.4671,0.015873015873015872,0.4965342777637238,0.515733686651209,31.002959567368617
13171,1,37871.0,0.4723,0.015873015873015872,0.2924867189476347,0.5214751021309485,25.053775267278134
13185,1,49361.0,0.5086,0.015873015873015872,0.437819377687832,0.5615545986529756,30.616139925144864
13187,1,50135.0,0.2769,0.015873015873015872,0.4476094105742474,0.30573037429612454,23.235114181031793
13209,1,42009.0,0.461,0.015873015873015872,0.3448267138881862,0.5089985646461301,26.24967899095012
