county_name,state_name,population_18_24
Clinch County,Georgia,6209
Cobb County,Georgia,720010
Coffee County,Georgia,40854
Colquitt County,Georgia,43928
Columbia County,Georgia,152694
Cook County,Georgia,16321
Coweta County,Georgia,136295
Crawford County,Georgia,9996
Crisp County,Georgia,17900
Dade County,Georgia,13865
Dawson County,Georgia,23357
Decatur County,Georgia,27464
DeKalb County,Georgia,712088
Dodge County,Georgia,16766
Dooly County,Georgia,8144
Dougherty County,Georgia,79747
Douglas County,Georgia,142170
Early County,Georgia,9851
Echols County,Georgia,3811
Effingham County,Georgia,65504
Elbert County,Georgia,16301
Emanuel County,Georgia,21585
Evans County,Georgia,10424
Fannin County,Georgia,17116
Fayette County,Georgia,106626
Floyd County,Georgia,93363
Forsyth County,Georgia,249664
Franklin County,Georgia,21328
Fulton County,Georgia,1008782
Gilmer County,Georgia,22917
Glascock County,Georgia,2649
Glynn County,Georgia,71627
Gordon County,Georgia,53773
Grady County,Georgia,23892
Greene County,Georgia,14429
Gwinnett County,Georgia,962522
Habersham County,Georgia,42654
Hall County,Georgia,195238
Hancock County,Georgia,6902
Haralson County,Georgia,27808
Harris County,Georgia,30172
Hart County,Georgia,21191
Heard County,Georgia,10374
Henry County,Georgia,238623
Houston County,Georgia,163068
Irwin County,Georgia,8742
Jackson County,Georgia,75390
Jasper County,Georgia,13540
Jeff Davis County,Georgia,14213
Jefferson County,Georgia,14040
Jenkins County,Georgia,6916
Johnson County,Georgia,7496
Jones County,Georgia,25543
Lamar County,Georgia,17674
Lanier County,Georgia,9709
Laurens County,Georgia,46243
Lee County,Georgia,32738
Liberty County,Georgia,74037
Lincoln County,Georgia,5996
Long County,Georgia,18082
Lowndes County,Georgia,127395
Lumpkin County,Georgia,33229
McDuffie County,Georgia,19858
McIntosh County,Georgia,7595
Macon County,Georgia,10143
Madison County,Georgia,27422
Marion County,Georgia,5905
Meriwether County,Georgia,17308
Miller County,Georgia,5324
Mitchell County,Georgia,19475
Monroe County,Georgia,25008
Montgomery County,Georgia,8031
Morgan County,Georgia,17402
Murray County,Georgia,36852
Muscogee County,Georgia,199381
Newton County,Georgia,112205
Oconee County,Georgia,40789
Oglethorpe County,Georgia,13221
Paulding County,Georgia,168627
Peach County,Georgia,26930
Pickens County,Georgia,26218
Pierce County,Georgia,18299
Pike County,Georgia,17925
Polk County,Georgia,40476
Pulaski County,Georgia,7679
Putnam County,Georgia,17437
Quitman County,Georgia,1284
Rabun County,Georgia,12220
Randolph County,Georgia,5610
Richmond County,Georgia,198636
Rockdale County,Georgia,86823
Schley County,Georgia,4022
Screven County,Georgia,11129
Seminole County,Georgia,7152
Spalding County,Georgia,61346
Stephens County,Georgia,23382
Stewart County,Georgia,4400
Sumter County,Georgia,28375
Talbot County,Georgia,4260
Taliaferro County,Georgia,1508
Tattnall County,Georgia,22259
Taylor County,Georgia,6457
Telfair County,Georgia,11017
Terrell County,Georgia,7852
Thomas County,Georgia,41062
Tift County,Georgia,39450
Toombs County,Georgia,26601
Towns County,Georgia,8727
Treutlen County,Georgia,5775
Troup County,Georgia,65789
Turner County,Georgia,7871
Twiggs County,Georgia,5992
Union County,Georgia,16807
Upson County,Georgia,24697
Walker County,Georgia,58821
Walton County,Georgia,92773
Ware County,Georgia,33776
Warren County,Georgia,4081
Washington County,Georgia,17311
Wayne County,Georgia,28408
Webster County,Georgia,1953
Wheeler County,Georgia,7106
White County,Georgia,23132
Whitfield County,Georgia,100459
Wilcox County,Georgia,7454
Wilkes County,Georgia,7473
Wilkinson County,Georgia,7638
Worth County,Georgia,17347
Hawaii County,Hawaii,165242
Honolulu County,Hawaii,896668
Kalawao County,Hawaii,29
Kauai County,Hawaii,61586
Maui County,Hawaii,136302
Ada County,Idaho,472661
Adams County,Idaho,3178
Bannock County,Idaho,89026
Bear Lake County,Idaho,6169
Benewah County,Idaho,7981
Bingham County,Idaho,50910
Blaine County,Idaho,19935
Boise County,Idaho,5157
Bonner County,Idaho,37040
Bonneville County,Idaho,134082
Boundary County,Idaho,10879
Butte County,Idaho,2522
Camas County,Idaho,1192
Canyon County,Idaho,244419
Caribou County,Idaho,6965
Cassia County,Idaho,26809
Clark County,Idaho,776
Clearwater County,Idaho,6007
Custer County,Idaho,2092
Elmore County,Idaho,29159
Franklin County,Idaho,15617
Fremont County,Idaho,12620
Gem County,Idaho,16755
Gooding County,Idaho,15369
Idaho County,Idaho,12834
Jefferson County,Idaho,35328
Jerome County,Idaho,25832
Kootenai County,Idaho,156340
Latah County,Idaho,43871
Lemhi County,Idaho,6112
Lewis County,Idaho,2881
Lincoln County,Idaho,5060
Madison County,Idaho,80476
Minidoka County,Idaho,22417
Nez Perce County,Idaho,37261
Oneida County,Idaho,4440
Owyhee County,Idaho,11460
Payette County,Idaho,24313
Power County,Idaho,8259
Shoshone County,Idaho,10891
Teton County,Idaho,10763
Twin Falls County,Idaho,91018
Valley County,Idaho,8664
Washington County,Idaho,9266
Adams County,Illinois,57422
Alexander County,Illinois,4141
Bond County,Illinois,15256
Boone County,Illinois,49799
Brown County,Illinois,5247
Bureau County,Illinois,27786
Calhoun County,Illinois,3617
Carroll County,Illinois,12667
Cass County,Illinois,11716
Champaign County,Illinois,225364
Christian County,Illinois,28299
Clark County,Illinois,13075
Clay County,Illinois,11645
Clinton County,Illinois,31575
Coles County,Illinois,45170
Cook County,Illinois,4749577
Crawford County,Illinois,15559
Cumberland County,Illinois,8921
DeKalb County,Illinois,106862
De Witt County,Illinois,12915
