county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Sampson County,North Carolina,39708,6282,15.820489573889393
Scotland County,North Carolina,23326,3455,14.811797993655148
Stanly County,North Carolina,44648,8795,19.69853072925999
Stokes County,North Carolina,33235,6145,18.489544155258013
Surry County,North Carolina,50708,9838,19.401277904867083
Swain County,North Carolina,9740,2072,21.27310061601643
Transylvania County,North Carolina,25533,9866,38.64019112521051
Tyrrell County,North Carolina,2567,378,14.725360342812621
Union County,North Carolina,158281,61773,39.02742590708929
Vance County,North Carolina,28655,5294,18.47496073983598
Wake County,North Carolina,781308,439696,56.27691000220144
Warren County,North Carolina,14049,2676,19.047619047619047
Washington County,North Carolina,7950,968,12.176100628930818
Watauga County,North Carolina,31195,14869,47.66468985414329
Wayne County,North Carolina,78414,16729,21.33420052541638
Wilkes County,North Carolina,47691,7949,16.667715082510327
Wilson County,North Carolina,54121,10967,20.26385321778977
Yadkin County,North Carolina,26727,4210,15.75186141355184
Yancey County,North Carolina,14050,3231,22.99644128113879
Adams County,North Dakota,1561,324,20.755925688661115
Barnes County,North Dakota,7524,2257,29.9973418394471
Benson County,North Dakota,3343,739,22.105892910559376
Billings County,North Dakota,706,229,32.436260623229465
Bottineau County,North Dakota,4472,1227,27.437388193202146
Bowman County,North Dakota,2009,548,27.277252364360375
Burke County,North Dakota,1500,353,23.533333333333335
Burleigh County,North Dakota,66815,25872,38.72184389732845
Cass County,North Dakota,119321,51648,43.284920508544175
Cavalier County,North Dakota,2561,569,22.217883639203436
Dickey County,North Dakota,3215,870,27.060653188180407
Divide County,North Dakota,1567,319,20.357370772176132
Dunn County,North Dakota,2832,582,20.55084745762712
Eddy County,North Dakota,1777,501,28.19358469330332
Emmons County,North Dakota,2469,511,20.69663831510733
Foster County,North Dakota,2491,678,27.217984745082298
Golden Valley County,North Dakota,1219,220,18.04757998359311
Grand Forks County,North Dakota,43215,16059,37.16070808746963
Grant County,North Dakota,1705,362,21.2316715542522
Griggs County,North Dakota,1689,462,27.353463587921844
Hettinger County,North Dakota,1815,340,18.732782369146005
