county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Starr County,Texas,36715,4882,13.2970175677516
Stephens County,Texas,6345,1155,18.203309692671397
Sterling County,Texas,787,193,24.52350698856417
Stonewall County,Texas,808,114,14.108910891089108
Sutton County,Texas,2145,332,15.47785547785548
Swisher County,Texas,4479,902,20.138423755302522
Tarrant County,Texas,1387073,479206,34.54800143900141
Taylor County,Texas,88580,25697,29.00993452246557
Terrell County,Texas,705,228,32.340425531914896
Terry County,Texas,7387,810,10.965209151211589
Throckmorton County,Texas,1137,284,24.97801231310466
Titus County,Texas,19576,3015,15.401512055578259
Tom Green County,Texas,78305,19668,25.117170040227315
Travis County,Texas,922677,512222,55.514768440093334
Trinity County,Texas,10123,1609,15.894497678553787
Tyler County,Texas,14621,1751,11.975925039326995
Upshur County,Texas,28653,5011,17.488570132272365
Upton County,Texas,2225,196,8.808988764044944
Uvalde County,Texas,15508,3127,20.163786432808873
Val Verde County,Texas,28989,6184,21.332229466349308
Van Zandt County,Texas,42627,7758,18.199732563867972
Victoria County,Texas,60004,11813,19.68702086527565
Walker County,Texas,52398,11230,21.432115729608
Waller County,Texas,34260,9104,26.57326328079393
Ward County,Texas,7121,761,10.68670130599635
Washington County,Texas,24595,7625,31.00223622687538
Webb County,Texas,152386,31912,20.9415563109472
Wharton County,Texas,27578,5302,19.225469577199217
Wheeler County,Texas,3372,658,19.51364175563464
Wichita County,Texas,83956,20851,24.835628186192768
Wilbarger County,Texas,8638,1504,17.411437832831673
Willacy County,Texas,12929,1575,12.181916621548456
Williamson County,Texas,435869,206612,47.40231583342702
Wilson County,Texas,35353,9288,26.27216926427743
Winkler County,Texas,4697,470,10.006387055567384
Wise County,Texas,48985,10110,20.638971113606207
Wood County,Texas,33759,7515,22.260730471874165
Yoakum County,Texas,4500,639,14.2
Young County,Texas,12450,2936,23.582329317269078
Zapata County,Texas,7944,1055,13.280463242698893
Zavala County,Texas,5706,545,9.551349456712233
Beaver County,Utah,4407,1002,22.736555479918312
Box Elder County,Utah,35871,9582,26.712386050012544
Cache County,Utah,70816,28627,40.42448034342521
Carbon County,Utah,13387,2465,18.413386120863525
Daggett County,Utah,509,59,11.591355599214145
Davis County,Utah,219334,84859,38.68939608086298
Duchesne County,Utah,11899,2023,17.00142869148668
Emery County,Utah,6373,1094,17.16616977875412
Garfield County,Utah,3698,1184,32.01730665224446
Grand County,Utah,6896,2395,34.73027842227378
Iron County,Utah,34059,10322,30.30623330103644
Juab County,Utah,6990,1414,20.22889842632332
Kane County,Utah,5750,1848,32.13913043478261
Millard County,Utah,7956,1834,23.0517848164907
Morgan County,Utah,7149,2777,38.84459364946146
Piute County,Utah,1162,221,19.01893287435456
Rich County,Utah,1602,392,24.469413233458177
Salt Lake County,Utah,762494,294553,38.6302056147327
San Juan County,Utah,8914,1804,20.237828135517162
Sanpete County,Utah,17740,4112,23.179255918827508
Sevier County,Utah,13799,3182,23.0596420030437
Summit County,Utah,28991,16835,58.069745783174085
Tooele County,Utah,45432,10541,23.201708047191406
Uintah County,Utah,21664,3647,16.834379615952734
Utah County,Utah,348804,152903,43.836366555429414
Wasatch County,Utah,22079,10536,47.7195525159654
Washington County,Utah,125296,41708,33.287575022347085
Wayne County,Utah,1810,456,25.193370165745854
Weber County,Utah,168203,47180,28.049440259686214
Addison County,Vermont,26242,11408,43.472296318878136
Bennington County,Vermont,26939,11088,41.15965700285831
Caledonia County,Vermont,22162,7080,31.946575218843066
Chittenden County,Vermont,113690,63437,55.79822323863136
Essex County,Vermont,4552,964,21.17750439367311
Franklin County,Vermont,35717,10287,28.80141109275695
Grand Isle County,Vermont,5672,2449,43.17700987306065
Lamoille County,Vermont,18695,8196,43.840599090665954
Orange County,Vermont,22081,8064,36.52008514107151
Orleans County,Vermont,20190,5767,28.56364536899455
Rutland County,Vermont,45064,15112,33.534528670335526
Washington County,Vermont,43912,20641,47.005374385133905
Windham County,Vermont,34190,14481,42.35448961684703
Windsor County,Vermont,43890,18395,41.91159717475507
Accomack County,Virginia,24382,5314,21.794766631121316
Albemarle County,Virginia,77950,47238,60.60038486209108
Alleghany County,Virginia,11137,1733,15.560743467720211
Amelia County,Virginia,9724,1632,16.783216783216783
Amherst County,Virginia,22345,5134,22.976057283508613
Appomattox County,Virginia,11631,2385,20.50554552489038
Arlington County,Virginia,173227,133574,77.109226621716
Augusta County,Virginia,57537,13396,23.282409579922483
Bath County,Virginia,3189,496,15.553465036061462
Bedford County,Virginia,58627,19726,33.64661333515275
Bland County,Virginia,5018,775,15.444400159426067
Botetourt County,Virginia,25149,6921,27.519980913754026
Brunswick County,Virginia,12026,1878,15.616164975885582
Buchanan County,Virginia,15167,1645,10.845915474385178
Buckingham County,Virginia,12712,1715,13.491189427312774
Campbell County,Virginia,40080,10309,25.721057884231534
Caroline County,Virginia,21829,5066,23.207659535480325
Carroll County,Virginia,22020,3673,16.6802906448683
Charles City County,Virginia,5259,842,16.010648412245672
Charlotte County,Virginia,8075,1511,18.712074303405572
Chesterfield County,Virginia,251552,107320,42.66314718229233
Clarke County,Virginia,11105,4140,37.28050427735254
Craig County,Virginia,3420,592,17.309941520467838
Culpeper County,Virginia,35970,9498,26.405337781484572
Cumberland County,Virginia,7287,1324,18.1693426650199
Dickenson County,Virginia,10345,1109,10.720154664088932
Dinwiddie County,Virginia,20313,4156,20.459804066361443
Essex County,Virginia,7729,1354,17.518437055246476
Fairfax County,Virginia,785190,504618,64.26699270240323
Fauquier County,Virginia,50801,20156,39.676384323143246
Floyd County,Virginia,11670,2688,23.033419023136247
Fluvanna County,Virginia,20470,7287,35.59843673668784
Franklin County,Virginia,40083,9751,24.327021430531648
Frederick County,Virginia,65083,19726,30.308990058847936
Giles County,Virginia,12137,2187,18.01927988794595
Gloucester County,Virginia,28778,7441,25.856557092223227
Goochland County,Virginia,19418,9125,46.99248120300752
Grayson County,Virginia,11719,1634,13.943169212390135
Greene County,Virginia,14550,4147,28.501718213058417
Greensville County,Virginia,8562,1180,13.781826676010278
Halifax County,Virginia,24537,4464,18.192933121408487
Hanover County,Virginia,77969,33031,42.36427298028704
Henrico County,Virginia,234295,107170,45.741479758424205
Henry County,Virginia,37029,5803,15.671500715655299
Highland County,Virginia,1714,608,35.47257876312719
Isle of Wight County,Virginia,28286,8470,29.944141978363852
James City County,Virginia,58785,29501,50.18457089393553
King and Queen County,Virginia,5220,1016,19.463601532567047
King George County,Virginia,18467,6617,35.83148318622408
King William County,Virginia,12744,3092,24.26239799121155
Lancaster County,Virginia,8763,3277,37.39586899463654
Lee County,Virginia,16604,2104,12.671645386653818
Loudoun County,Virginia,278473,178261,64.01374639552128
Louisa County,Virginia,28611,7912,27.653699626017964
Lunenburg County,Virginia,8890,995,11.192350956130484
Madison County,Virginia,10148,2802,27.611351990540005
Mathews County,Virginia,6537,1968,30.10555300596604
Mecklenburg County,Virginia,22801,4827,21.170124117363272
Middlesex County,Virginia,8501,2687,31.608046112222095
Montgomery County,Virginia,56181,27189,48.395364981043414
Nelson County,Virginia,11136,3753,33.70150862068966
New Kent County,Virginia,17825,6323,35.472650771388494
Northampton County,Virginia,9101,2962,32.54587407977145
Northumberland County,Virginia,9494,3217,33.88455866863282
Nottoway County,Virginia,11324,1900,16.778523489932887
Orange County,Virginia,26758,7880,29.44913670677928
Page County,Virginia,17396,2648,15.221890089675789
Patrick County,Virginia,13723,2090,15.229905997230928
Pittsylvania County,Virginia,44901,6921,15.413910603327318
Powhatan County,Virginia,23494,8041,34.22575976845152
Prince Edward County,Virginia,12920,3127,24.20278637770898
Prince George County,Virginia,27591,6617,23.982458047914175
Prince William County,Virginia,312580,139028,44.47757374112227
Pulaski County,Virginia,25457,5458,21.44007542129866
Rappahannock County,Virginia,5679,2024,35.6400774784293
Richmond County,Virginia,6851,1189,17.355130637863088
Roanoke County,Virginia,70378,26310,37.38384154139078
Rockbridge County,Virginia,17002,5348,31.455122926714502
Rockingham County,Virginia,58041,16483,28.398890439516894
Russell County,Virginia,19028,2683,14.100273281479925
Scott County,Virginia,16156,2302,14.248576380292151
Shenandoah County,Virginia,31787,6793,21.370371535533394
Smyth County,Virginia,21702,3919,18.058243479863606
Southampton County,Virginia,13300,2473,18.593984962406015
Spotsylvania County,Virginia,96629,32653,33.79213279657245
Stafford County,Virginia,103581,44859,43.30813566194573
Surry County,Virginia,4921,1250,25.401341190814875
Sussex County,Virginia,8255,1305,15.808600847970927
Tazewell County,Virginia,28920,4740,16.390041493775932
Warren County,Virginia,29086,7136,24.534140136147975
Washington County,Virginia,40309,10693,26.527574487087254
Westmoreland County,Virginia,14171,2793,19.709265401171404
Wise County,Virginia,25834,4032,15.607339165440893
Wythe County,Virginia,20731,4088,19.71926101008152
York County,Virginia,47964,23993,50.02293386706697
Alexandria city,Virginia,118944,78211,65.75447269303201
Bristol city,Virginia,12224,2924,23.920157068062828
Buena Vista city,Virginia,4092,1012,24.731182795698924
Charlottesville city,Virginia,29058,17595,60.55131117076192
Chesapeake city,Virginia,169871,61868,36.42057796798747
Colonial Heights city,Virginia,12675,3738,29.49112426035503
Covington city,Virginia,3823,367,9.599790740256344
Danville city,Virginia,29233,5350,18.30123490575719
Emporia city,Virginia,3643,552,15.152346966785615
Fairfax city,Virginia,16231,10120,62.34982441007948
Falls Church city,Virginia,9845,7849,79.72574911122398
Franklin city,Virginia,5588,1477,26.431639226914815
Fredericksburg city,Virginia,16880,7898,46.78909952606635
Galax city,Virginia,4462,816,18.28776333482743
Hampton city,Virginia,93055,25571,27.479447638493365
Harrisonburg city,Virginia,26146,9607,36.74367015987149
Hopewell city,Virginia,14936,1864,12.479914301017676
Lexington city,Virginia,3251,1863,57.30544447862196
Lynchburg city,Virginia,44536,17162,38.53511765762529
Manassas city,Virginia,27629,9186,33.247674544862285
Manassas Park city,Virginia,11178,2848,25.47861871533369
Martinsville city,Virginia,8749,1859,21.2481426448737
Newport News city,Virginia,120364,35021,29.095909075803394
Norfolk city,Virginia,151855,49601,32.6633960027658
Norton city,Virginia,2589,431,16.647354190807263
Petersburg city,Virginia,22917,5732,25.01199982545708
Poquoson city,Virginia,8793,3523,40.06596156033208
Portsmouth city,Virginia,65871,15281,23.19837257670295
Radford city,Virginia,7396,2940,39.75121687398594
Richmond city,Virginia,160965,70940,44.071692603982235
Roanoke city,Virginia,69050,19950,28.89210716871832
Salem city,Virginia,17252,5373,31.14421516345931
Staunton city,Virginia,18446,6469,35.069933860999676
Suffolk city,Virginia,66126,21441,32.424462389982764
Virginia Beach city,Virginia,317225,128208,40.41547797304752
Waynesboro city,Virginia,16015,4207,26.26912269747112
Williamsburg city,Virginia,7597,3683,48.47966302487824
Winchester city,Virginia,18559,5872,31.639635756236867
Adams County,Washington,11332,1748,15.42534415813625
Asotin County,Washington,16393,3988,24.327456841334715
Benton County,Washington,136939,45156,32.97526635947393
Chelan County,Washington,55208,16684,30.220257933632805
Clallam County,Washington,60562,18587,30.69086225686074
Clark County,Washington,351391,115820,32.96043438790407
Columbia County,Washington,3097,843,27.219890216338392
Cowlitz County,Washington,77987,13263,17.006680600612924
Douglas County,Washington,29168,6377,21.863000548546353
Ferry County,Washington,5663,1037,18.311848843369237
Franklin County,Washington,57029,11643,20.415928738010486
Garfield County,Washington,1752,469,26.769406392694062
Grant County,Washington,61989,11260,18.16451305876849
Grays Harbor County,Washington,56001,9868,17.621113908680204
Island County,Washington,63996,22869,35.73504594037127
Jefferson County,Washington,28234,12214,43.259899412056384
King County,Washington,1634473,914159,55.92989299915019
Kitsap County,Washington,196424,71744,36.52506821976948
Kittitas County,Washington,29276,10321,35.254133078289385
Klickitat County,Washington,17423,5435,31.194398209263618
Lewis County,Washington,59894,12069,20.150599392259657
Lincoln County,Washington,8069,1912,23.6956252323708
Mason County,Washington,49331,10856,22.006446250836188
Okanogan County,Washington,30620,7344,23.98432397126061
Pacific County,Washington,18830,4398,23.356346255974508
Pend Oreille County,Washington,10122,2053,20.282552855166962
Pierce County,Washington,628616,189514,30.14781679117299
San Juan County,Washington,15097,8063,53.40796184672452
Skagit County,Washington,93496,27240,29.134936253957388
Skamania County,Washington,9448,2660,28.1541066892464
Snohomish County,Washington,586955,216250,36.842688110672874
Spokane County,Washington,377147,121064,32.099950417211325
Stevens County,Washington,34412,7495,21.7801929559456
Thurston County,Washington,211430,78600,37.175424490375065
Wahkiakum County,Washington,3493,778,22.273117663899228
Walla Walla County,Washington,41000,12336,30.08780487804878
Whatcom County,Washington,155393,59183,38.08601417052248
Whitman County,Washington,24357,12217,50.158065443199085
Yakima County,Washington,157100,29637,18.865054105665184
Barbour County,West Virginia,10518,1288,12.245674082525195
Berkeley County,West Virginia,87512,21308,24.348660755096443
Boone County,West Virginia,15300,1826,11.934640522875817
Braxton County,West Virginia,9215,1093,11.861096039066739
Brooke County,West Virginia,16131,3533,21.901927964788296
Cabell County,West Virginia,62148,20166,32.44834910214327
Calhoun County,West Virginia,4623,467,10.101665585117889
Clay County,West Virginia,5461,643,11.774400292986632
Doddridge County,West Virginia,5819,739,12.699776593916482
Fayette County,West Virginia,29064,4677,16.092072667217174
Gilmer County,West Virginia,5344,1062,19.872754491017965
Grant County,West Virginia,8109,1455,17.943026267110618
Greenbrier County,West Virginia,24167,5334,22.0714197045558
Hampshire County,West Virginia,17554,2853,16.25270593596901
Hancock County,West Virginia,21322,4301,20.171653691023355
Hardy County,West Virginia,10682,1673,15.661861074705111
Harrison County,West Virginia,46654,12080,25.89274231577142
Jackson County,West Virginia,19807,3846,19.41737769475438
Jefferson County,West Virginia,41038,13840,33.72484039183196
Kanawha County,West Virginia,129222,37829,29.274426955162436
Lewis County,West Virginia,11982,2092,17.45952261725922
Lincoln County,West Virginia,14332,1203,8.393804074797655
Logan County,West Virginia,22941,3175,13.839850050128591
McDowell County,West Virginia,13847,796,5.748537589369539
Marion County,West Virginia,38724,10006,25.839272802396447
Marshall County,West Virginia,22455,4284,19.07815631262525
Mason County,West Virginia,18289,2968,16.228333971239543
Mercer County,West Virginia,41824,8644,20.667559296097934
Mineral County,West Virginia,19530,4455,22.811059907834103
Mingo County,West Virginia,16275,1355,8.325652841781874
Monongalia County,West Virginia,65916,31598,47.93676800776746
Monroe County,West Virginia,9029,1393,15.428065123490972
Morgan County,West Virginia,13201,2325,17.612302098325884
Nicholas County,West Virginia,17928,3414,19.042838018741634
Ohio County,West Virginia,29537,9609,32.532078410129664
Pendleton County,West Virginia,4561,933,20.456040342030256
Pleasants County,West Virginia,5486,803,14.637258476121035
Pocahontas County,West Virginia,6002,948,15.794735088303899
Preston County,West Virginia,25810,4617,17.88841534289035
Putnam County,West Virginia,40592,11530,28.404611746156878
Raleigh County,West Virginia,52444,11342,21.626878193882998
Randolph County,West Virginia,20404,3869,18.96196824152127
Ritchie County,West Virginia,6197,796,12.844924963692108
Roane County,West Virginia,10082,1431,14.193612378496331
Summers County,West Virginia,9298,1487,15.99268659926866
Taylor County,West Virginia,12119,2103,17.35291690733559
Tucker County,West Virginia,5340,1292,24.19475655430712
Tyler County,West Virginia,6046,947,15.6632484287132
Upshur County,West Virginia,16372,2854,17.432201319325678
Wayne County,West Virginia,27706,4899,17.682090521908613
Webster County,West Virginia,6041,759,12.564145009104452
Wetzel County,West Virginia,10151,1371,13.506058516402325
Wirt County,West Virginia,3731,606,16.24229429107478
Wood County,West Virginia,60104,13791,22.94522827099694
Wyoming County,West Virginia,15216,1833,12.046529968454259
Adams County,Wisconsin,16927,2923,17.268269628404326
Ashland County,Wisconsin,11193,2474,22.10310015188064
Barron County,Wisconsin,33363,7434,22.282168869705963
Bayfield County,Wisconsin,12787,4474,34.98866035817627
Brown County,Wisconsin,181853,58981,32.43333901557852
Buffalo County,Wisconsin,9759,2156,22.092427502817912
Burnett County,Wisconsin,13154,2894,22.00091227003193
Calumet County,Wisconsin,36807,11975,32.534572228108786
Chippewa County,Wisconsin,47613,11494,24.140465839161575
Clark County,Wisconsin,21547,2891,13.417181046085302
Columbia County,Wisconsin,42012,10788,25.678377606398172
Crawford County,Wisconsin,11819,2161,18.284118791775956
Dane County,Wisconsin,375709,204572,54.44958731358578
Dodge County,Wisconsin,64366,12823,19.92200851381164
Door County,Wisconsin,23692,8792,37.10957285159547
Douglas County,Wisconsin,31972,8876,27.761791567621668
Dunn County,Wisconsin,28247,8257,29.231422805961692
Eau Claire County,Wisconsin,68214,24324,35.658369249714134
Florence County,Wisconsin,3671,849,23.12721329338055
Fond du Lac County,Wisconsin,72965,16498,22.61084081408895
Forest County,Wisconsin,6860,1063,15.495626822157435
Grant County,Wisconsin,32566,7999,24.56242707117853
Green County,Wisconsin,26465,7139,26.975250330625357
Green Lake County,Wisconsin,13581,3058,22.516751343789117
Iowa County,Wisconsin,17037,4852,28.47919234607032
Iron County,Wisconsin,4946,1156,23.372422159320664
Jackson County,Wisconsin,14976,2437,16.27270299145299
Jefferson County,Wisconsin,59566,16755,28.128462545747574
Juneau County,Wisconsin,19781,3219,16.273191446337396
Kenosha County,Wisconsin,114968,35366,30.761603228724514
Kewaunee County,Wisconsin,14766,3036,20.5607476635514
La Crosse County,Wisconsin,78276,28244,36.08257959016812
Lafayette County,Wisconsin,11347,2340,20.62219088745924
Langlade County,Wisconsin,14390,2329,16.184850590687976
Lincoln County,Wisconsin,21496,4177,19.431522143654632
Manitowoc County,Wisconsin,58830,13079,22.23185449600544
Marathon County,Wisconsin,96557,26333,27.27197406713133
Marinette County,Wisconsin,31311,6101,19.48516495800198
Marquette County,Wisconsin,11829,1793,15.157663369684673
Menominee County,Wisconsin,2479,486,19.604679306171843
Milwaukee County,Wisconsin,619168,209851,33.892416920771105
Monroe County,Wisconsin,31187,6230,19.976272164684
Oconto County,Wisconsin,29100,5441,18.69759450171821
Oneida County,Wisconsin,29371,8350,28.429403152769737
Outagamie County,Wisconsin,131167,41952,31.98365442527465
Ozaukee County,Wisconsin,65004,32739,50.36459294812627
Pepin County,Wisconsin,5297,1252,23.636020388899375
Pierce County,Wisconsin,27223,8707,31.98398413106564
Polk County,Wisconsin,33234,7865,23.665523259312753
Portage County,Wisconsin,46058,15520,33.69664336271658
Price County,Wisconsin,10775,1838,17.05800464037123
Racine County,Wisconsin,135728,37985,27.986119297418366
Richland County,Wisconsin,12322,2553,20.719039117026455
Rock County,Wisconsin,113021,29085,25.73415559940188
Rusk County,Wisconsin,10410,1697,16.301633045148893
St. Croix County,Wisconsin,64928,25574,39.38824544110399
Sauk County,Wisconsin,46261,12256,26.493158383951926
Sawyer County,Wisconsin,13856,3769,27.20121247113164
Shawano County,Wisconsin,29458,5509,18.701201710910446
Sheboygan County,Wisconsin,82470,22530,27.319025100036377
Taylor County,Wisconsin,13972,2327,16.65473804752362
Trempealeau County,Wisconsin,20445,4136,20.229885057471265
Vernon County,Wisconsin,20743,5153,24.84211541242829
Vilas County,Wisconsin,18421,5623,30.52494435698388
Walworth County,Wisconsin,71154,22995,32.31722742221098
Washburn County,Wisconsin,12696,2990,23.55072463768116
Washington County,Wisconsin,98116,34133,34.7884137143789
Waukesha County,Wisconsin,292041,139995,47.93676230392308
Waupaca County,Wisconsin,37708,7614,20.192001697252575
Waushara County,Wisconsin,18831,3269,17.35967287982582
Winnebago County,Wisconsin,116770,36248,31.042219748223005
Wood County,Wisconsin,52951,11344,21.42358029121263
Albany County,Wyoming,21380,11868,55.509822263797936
Big Horn County,Wyoming,8062,1684,20.88811709253287
Campbell County,Wyoming,30797,6841,22.21320258466734
Carbon County,Wyoming,10170,2318,22.79252704031465
Converse County,Wyoming,9499,2173,22.87609222023371
Crook County,Wyoming,5109,1226,23.99686827167743
Fremont County,Wyoming,26522,6698,25.25450569338662
Goshen County,Wyoming,8988,2212,24.610591900311526
Hot Springs County,Wyoming,3328,878,26.382211538461537
Johnson County,Wyoming,6304,1911,30.314086294416242
Laramie County,Wyoming,68915,22081,32.04091997388087
Lincoln County,Wyoming,13590,3278,24.120676968359085
Natrona County,Wyoming,54406,14891,27.37014299893394
Niobrara County,Wyoming,1915,375,19.5822454308094
Park County,Wyoming,21673,7576,34.95593595718175
Platte County,Wyoming,6565,1281,19.512566641279513
Sheridan County,Wyoming,22376,7468,33.37504469074008
Sublette County,Wyoming,6327,1967,31.08898372056267
Sweetwater County,Wyoming,27675,5639,20.375790424570912
Teton County,Wyoming,17955,10992,61.21971595655806
Uinta County,Wyoming,13387,2854,21.319190259206692
Washakie County,Wyoming,5501,1212,22.03235775313579
Weston County,Wyoming,5060,913,18.043478260869566
Adjuntas Municipio,Puerto Rico,13263,2249,16.956947900173414
Aguada Municipio,Puerto Rico,28816,6806,23.6188228761799
Aguadilla Municipio,Puerto Rico,40265,10256,25.471252949211475
Aguas Buenas Municipio,Puerto Rico,17713,3619,20.43132162818269
Aibonito Municipio,Puerto Rico,18597,4346,23.369360649567135
Añasco Municipio,Puerto Rico,19138,4432,23.158114745532448
Arecibo Municipio,Puerto Rico,64733,17776,27.46049155762903
Arroyo Municipio,Puerto Rico,11296,3009,26.637747875354105
Barceloneta Municipio,Puerto Rico,16592,4005,24.138138862102217
Barranquitas Municipio,Puerto Rico,20487,4576,22.33611558549324
Bayamón Municipio,Puerto Rico,137444,44083,32.07342626815285
Cabo Rojo Municipio,Puerto Rico,35539,10159,28.585497622330397
Caguas Municipio,Puerto Rico,93930,32730,34.8450974129671
Camuy Municipio,Puerto Rico,24568,5220,21.247150765223054
Canóvanas Municipio,Puerto Rico,30757,8466,27.52544136294177
Carolina Municipio,Puerto Rico,114772,39908,34.771547067228944
Cataño Municipio,Puerto Rico,16771,3832,22.848965476119492
Cayey Municipio,Puerto Rico,30910,8963,28.997088320931734
Ceiba Municipio,Puerto Rico,8411,1807,21.483771251931994
Ciales Municipio,Puerto Rico,12602,2142,16.997302015553085
Cidra Municipio,Puerto Rico,29256,7658,26.175827180749252
Coamo Municipio,Puerto Rico,25907,5888,22.727448180028563
Comerío Municipio,Puerto Rico,13822,2486,17.98581970771234
Corozal Municipio,Puerto Rico,25031,5472,21.8608924933083
Culebra Municipio,Puerto Rico,838,136,16.2291169451074
Dorado Municipio,Puerto Rico,25861,9386,36.29403348671745
Fajardo Municipio,Puerto Rico,23410,6995,29.88039299444682
Florida Municipio,Puerto Rico,8083,1537,19.01521712235556
Guánica Municipio,Puerto Rico,9627,1491,15.487690869429729
Guayama Municipio,Puerto Rico,25988,5840,22.47191011235955
Guayanilla Municipio,Puerto Rico,12741,3186,25.005886508123382
Guaynabo Municipio,Puerto Rico,69303,34043,49.12197163181969
Gurabo Municipio,Puerto Rico,29603,10016,33.83440867479647
Hatillo Municipio,Puerto Rico,29047,9128,31.424932006747685
Hormigueros Municipio,Puerto Rico,12028,3647,30.32091785833056
Humacao Municipio,Puerto Rico,37857,10138,26.77972369707056
Isabela Municipio,Puerto Rico,32225,8200,25.446082234290145
Jayuya Municipio,Puerto Rico,10491,2134,20.341244876560864
Juana Díaz Municipio,Puerto Rico,33408,9309,27.864583333333332
Juncos Municipio,Puerto Rico,26545,6033,22.72744396308156
Lajas Municipio,Puerto Rico,17586,3685,20.95416808825202
Lares Municipio,Puerto Rico,21020,4477,21.298763082778308
Las Marías Municipio,Puerto Rico,6338,1050,16.566740296623543
Las Piedras Municipio,Puerto Rico,25895,7488,28.916779301023364
Loíza Municipio,Puerto Rico,17090,3158,18.478642480983034
Luquillo Municipio,Puerto Rico,13099,3076,23.482708603710208
Manatí Municipio,Puerto Rico,28962,6885,23.77252952144189
Maricao Municipio,Puerto Rico,3936,453,11.509146341463415
Maunabo Municipio,Puerto Rico,7987,1013,12.683110053837485
Mayagüez Municipio,Puerto Rico,49302,13542,27.467445539734697
Moca Municipio,Puerto Rico,27264,6756,24.779929577464788
Morovis Municipio,Puerto Rico,20747,4287,20.66322841856654
Naguabo Municipio,Puerto Rico,16529,3920,23.715893278480245
Naranjito Municipio,Puerto Rico,21545,4258,19.763286145277327
Orocovis Municipio,Puerto Rico,15437,2859,18.520437908920126
Patillas Municipio,Puerto Rico,12027,2663,22.141847509769686
Peñuelas Municipio,Puerto Rico,14264,3659,25.651991026360065
Ponce Municipio,Puerto Rico,98155,29921,30.483419082064085
Quebradillas Municipio,Puerto Rico,17428,3696,21.207252696809732
Rincón Municipio,Puerto Rico,11950,2926,24.485355648535563
Río Grande Municipio,Puerto Rico,34695,9097,26.21991641446894
Sabana Grande Municipio,Puerto Rico,16710,4859,29.07839616995811
Salinas Municipio,Puerto Rico,18413,3562,19.345027969369465
San Germán Municipio,Puerto Rico,23330,5666,24.286326618088296
San Juan Municipio,Puerto Rico,253786,107000,42.1615061508515
San Lorenzo Municipio,Puerto Rico,28103,5594,19.905348183467957
San Sebastián Municipio,Puerto Rico,29380,6698,22.79782164737917
Santa Isabel Municipio,Puerto Rico,14370,4137,28.789144050104383
Toa Alta Municipio,Puerto Rico,48508,13780,28.407685330254807
Toa Baja Municipio,Puerto Rico,54678,15126,27.66377702183694
Trujillo Alto Municipio,Puerto Rico,50032,19965,39.904461144867284
Utuado Municipio,Puerto Rico,20872,4747,22.74338827136834
Vega Alta Municipio,Puerto Rico,25380,6277,24.732072498029943
Vega Baja Municipio,Puerto Rico,40183,10025,24.948361247293633
Vieques Municipio,Puerto Rico,6022,745,12.371305214214546
Villalba Municipio,Puerto Rico,15582,3503,22.481067898857656
Yabucoa Municipio,Puerto Rico,22434,4119,18.36052420433271
Yauco Municipio,Puerto Rico,25350,6874,27.116370808678504
